Key_,County,Precinct,Population,White Single Race,Black Single Race,Native American Single Race,Asian Pacific Islander Single Race,Other Single Race,Multi Race,Hispanic,Non Hispanic,Any Part Black,Any Part Native American,Any Part Black or Native American,,Hispanic White Single Race,Hispanic Other Single Race,PL00VA_TOT,White Single Race,REG00G_TOT,White,Black,Native American,Other,Democrat,Republican,Liberitarian,Unaffiliated,White Democrat,White Republican,WhiteLibertarian,White Unaffiliated,Black Democrat,Black Republican,Black Libertarian,Black Unaffiliated,Native American Democrat,Native American Republican,Native American Libretarian,Nnative American Unaffiliated,Other Democrat,Other Republican,Other Libretarian,Other Unaffiliated,Male,Female,18-25,26-40,41-65,66+
37.009.0084,Ashe,Pine Swamp,1891,1849,23,0,2,2,15,37,1854,19,8,0,4,22,1,1487,1452,1335,1318,13,0,4,531,640,0,164,516,640,0,162,13,0,0,0,0,0,0,0,2,0,0,2,637,698,112,376,587,260
37.009.0085,Ashe,Piney Creek,906,900,1,0,0,1,4,2,904,3,1,0,0,0,1,731,727,917,914,0,0,3,304,520,0,93,301,520,0,93,0,0,0,0,0,0,0,0,3,0,0,0,427,490,66,209,389,253
37.009.0086,Ashe,Pond Mountain,258,258,0,0,0,0,0,0,258,0,0,0,0,0,0,207,207,188,188,0,0,0,54,112,0,22,54,112,0,22,0,0,0,0,0,0,0,0,0,0,0,0,95,93,12,40,74,62
37.009.0087,Ashe,West Jefferson,4098,3905,21,36,16,89,31,216,3882,26,50,0,1,90,89,3289,3146,3502,3477,13,3,9,1725,1381,3,393,1713,1372,3,389,8,2,0,3,0,3,0,0,4,4,0,1,1587,1915,246,915,1416,925
37.011.0088,Avery,Altamont,1223,1164,21,13,2,11,12,30,1193,22,21,0,0,12,8,946,902,985,980,1,2,2,172,652,0,161,170,651,0,159,1,0,0,0,0,1,0,1,1,0,0,1,459,526,106,287,430,162
37.011.0089,Avery,Banner Elk,2654,2525,53,8,15,16,37,34,2620,55,24,0,0,20,11,2198,2097,2548,2515,24,1,8,520,1469,5,554,499,1463,5,548,17,4,0,3,0,1,0,0,4,1,0,3,1282,1266,245,963,993,347
37.011.0090,Avery,Beech Mountain,689,681,2,0,0,0,6,6,683,2,4,0,0,6,0,544,540,432,431,0,0,1,64,303,2,63,64,302,2,63,0,0,0,0,0,0,0,0,0,1,0,0,224,208,35,126,188,83
37.011.0091,Avery,Carey's Flat,177,176,0,0,0,0,1,1,176,1,0,0,0,1,0,130,130,82,82,0,0,0,16,57,0,9,16,57,0,9,0,0,0,0,0,0,0,0,0,0,0,0,38,44,2,34,26,20
37.011.0092,Avery,Cranberry,550,511,1,10,2,25,1,29,521,1,11,0,0,2,25,429,403,363,361,0,1,1,37,263,0,63,37,262,0,62,0,0,0,0,0,0,0,1,0,1,0,0,171,192,43,95,142,83
37.011.0093,Avery,Elk Park,1146,1120,0,4,0,20,2,38,1108,0,6,0,0,18,20,856,835,789,786,0,1,2,111,548,1,129,111,546,1,128,0,0,0,0,0,1,0,0,0,1,0,1,387,402,85,233,331,140
37.011.0094,Avery,Frank,307,298,5,0,0,0,4,4,303,5,2,2,0,3,0,230,223,276,270,6,0,0,18,223,0,35,17,219,0,34,1,4,0,1,0,0,0,0,0,0,0,0,135,141,24,88,124,40
37.011.0095,Avery,Heaton,427,423,0,0,1,0,3,0,427,0,3,0,0,0,0,338,334,334,333,0,0,1,27,256,0,51,26,256,0,51,0,0,0,0,0,0,0,0,1,0,0,0,163,171,47,107,131,49
37.011.0096,Avery,Hughes,446,441,1,0,2,2,0,3,443,1,0,0,0,1,2,346,342,358,358,0,0,0,27,298,0,33,27,298,0,33,0,0,0,0,0,0,0,0,0,0,0,0,169,189,40,99,146,73
37.011.0097,Avery,Ingalls,2388,1793,506,6,1,75,7,94,2294,508,10,0,0,22,71,2120,1528,640,639,0,0,1,97,449,0,94,97,449,0,93,0,0,0,0,0,0,0,0,0,0,0,1,298,342,49,190,272,129
37.011.0098,Avery,Linville,605,594,1,0,3,1,6,6,599,1,4,0,0,5,1,505,494,493,491,1,0,1,92,315,0,86,92,314,0,85,0,0,0,1,0,0,0,0,0,1,0,0,231,262,39,141,194,119
37.011.0099,Avery,Minneapolis,429,428,0,0,0,0,1,0,429,0,1,0,0,0,0,335,334,325,325,0,0,0,45,237,0,43,45,237,0,43,0,0,0,0,0,0,0,0,0,0,0,0,163,162,43,90,122,70
37.011.0100,Avery,Montezuma,629,617,0,0,0,8,4,17,612,2,2,0,0,9,8,489,480,394,394,0,0,0,87,270,0,37,87,270,0,37,0,0,0,0,0,0,0,0,0,0,0,0,171,223,32,101,179,82
